,title,PMID
70,Hyperinflammation: On the pathogenesis and treatment of macrophage activation syndrome.,33934408
71,Difficult Balance Between EBV Treatment and Posttransplant Immunosuppression: A Successful Transplant in a Child With Recurrent Epstein-Barr Virus-Induced Hemophagocytic Lymphohistiocytosis.,33933286
72,Ferulic Acid Supplementation Increases Lifespan and Stress Resistance via Insulin/IGF-1 Signaling Pathway in C. elegans.,33924155
73,HLH or sepsis: the truth is in the T cells.,33914076
74,Mortal Interaction Between Hemophagocytic Syndrome and Newly Developed Heart Failure.,3390976533909766
75,"Hemophagocytic lymphohistiocytosis, a new cause of death during 'post-acute COVID-19 syndrome?' A case report.",33897909
76,"Comment on: Gudu T, Stober C, Cope AP et al. Baricitinib set to join the Covid-19 therapeutic arsenal? Rheumatology (Oxford). 2021;60:1585-1587.",33895812
77,Transgenic mice overexpressing the LH receptor in the female reproductive system spontaneously develop endometrial tumour masses.,33893331
78,Clinical Management of Relapsed/Refractory Hemophagocytic Lymphohistiocytosis in Adult Patients: A Review of Current Strategies and Emerging Therapies.,33888986
79,Treatment of Severe Hypertriglyceridemia With Insulin Infusions in Severe COVID-19: A Case Series.,33882724
80,Primary varicella-zoster virus infection of the immunocompromised associated with acute pancreatitis and hemophagocytic lymphohistiocytosis: A case report.,33879665
81,Ehrlichia-induced hemophagocytic lymphohistiocytosis after autologous stem cell transplant.,33877729
82,Multisystem inflammation and susceptibility to viral infections in human ZNFX1 deficiency.,33872655
83,Adult onset type 2 familial hemophagocytic lymphohistiocytosis with PRF1 c.65delC/c.163C>T compound heterozygous mutations: A case report.,33869605
84,Performance of HScore in Reactive Hemophagocytic Lymphohistiocytosis.,33867732
85,Germline variants in UNC13D and AP3B1 are enriched in COVID-19 patients experiencing severe cytokine storms.,33867526
86,Investigation of MRI-based radiomics model in differentiation between sinonasal primary lymphomas and squamous cell carcinomas.,33860416
87,RHOG: Rac1-ing up another HLH gene.,33856445
88,The occurrence and treatment of hemophagocytic lymphohistiocytosis caused by multiple factors: a case report and literature review.,33849134
89,Improved transplant outcomes with myeloablative conditioning for hemophagocytic lymphohistiocytosis in HLA-matched and mismatched donors: a national multicenter retrospective study.,33846559
90,Central nervous system involvement in adult-onset relapsing hemophagocytic lymphohistiocytosis responsive to maintenance treatment with anakinra.,33845282
91,Challenges in improving global outcomes for hemophagocytic lymphohistiocytosis.,33843440
92,The Efficacy of Etoposide-Based Therapy in Adult Secondary Hemophagocytic Lymphohistiocytosis.,33827086
93,Rituximab-containing immuno-chemotherapy regimens are effective for the elimination of EBV for EBV-HLH with only and mainly B lymphocytes of EBV infection.,33826999
94,Death of unknown cause? Post-mortem diagnosis of fulminant course of an EBV-associated secondary hemophagocytic lymphohistiocytosis.,33824685
95,The Presence of Secondary Evans Syndrome in AIDS Patients with Talaromyces marneffei Infection.,33824596
96,Do COVID-19 Infections Result in a Different Form of Secondary Hemophagocytic Lymphohistiocytosis.,33803997
97,Ruxolitinib treatment permits lower cumulative glucocorticoid dosing in children with secondary hemophagocytic lymphohistiocytosis.,33794928
98,Secondary haemophagocytic lymphohistiocytosis (HLH) triggered by Salmonella typhi.,33790033
99,Case of haemophagocytic lymphohistiocytosis following Epstein-Barr virus infection.,33789863
100,Hemophagocytic lymphohistiocytosis induced by Toxoplasma gondii infection diagnosed by a bone marrow biopsy and DNA next-generation sequencing in an allogeneic hematopoietic stem cell transplant recipient.,33783930
101,Small Molecule Rescue of ATXN3 Toxicity in C. elegans via TFEB/HLH-30.,33782863
102,A Minimal Parameter Set Facilitating Early Decision-making in the Diagnosis of Hemophagocytic Lymphohistiocytosis.,33779897
103,Host-commensal interaction promotes health and lifespan in Caenorhabditis elegans through the activation of HLH-30/TFEB-mediated autophagy.,33770762
104,Lysinuric protein intolerance mimicking N-acetylglutamate synthase deficiency in a nine-year-old boy.,33763330
105,Hemophagocytic lymphohistiocytosis in COVID-19: Case reports of a stepwise approach.,33761694
106,Diagnostic Challenges in Pediatric Hemophagocytic Lymphohistiocytosis.,33761058
107,Scrub typhus with secondary hemophagocytic lymphohistiocytosis in a 3-month-old child from a tertiary care hospital of Odisha.,33753698
108,Adjustments to pharmacologic therapies for hemophagocytic lymphohistiocytosis while on extracorporeal support.,33751818
109,"The Spectrum of Clinical, Immunological, and Molecular Findings in Familial Hemophagocytic Lymphohistiocytosis: Experience From India.",33746956
110,Hemophagocytic Lymphohistiocytosis in the Emergency Department: Recognizing and Evaluating a Hidden Threat.,33745765
111,Peripheral immune profile of children with Talaromyces marneffei infections: a retrospective analysis of 21 cases.,33743629
112,Effect of different conditioning regimens on survival and engraftment for children with hemophagocytic lymphohistiocytosis undergoing allogeneic hematopoeitic stem cell transplantation: A single institution experience.,33740322
113,Acute cerebral atrophy in autoimmune encephalitis complicated by haemophagocytic lymphohistiocytosis.,33731389
114,Ruxolitinib in conjunction with the HLH-94 protocol for Epstein-Barr virus-related hemophagocytic lymphohistiocytosis in the intensive care unit: A case report.,33726009
115,HLH-30-dependent rewiring of metabolism during starvation in C. elegans.,33724708
116,"Characteristics of primary Epstein-Barr virus infection disease spectrum and its reactivation in children, in Suzhou, China.",33719067
117,Single-Cell RNA Sequencing and Quantitative Proteomics Analysis Elucidate Marker Genes and Molecular Mechanisms in Hypoplastic Left Heart Patients With Heart Failure.,33718359
118,Cardiovascular Drug Therapy during Interstage After Hybrid Approach: A Single-Center Experience in 51 Newborns with Hypoplastic Left Heart.,33713024
119,The Treatment Effect of Protamine on Severe Coagulopathy in Epstein-Barr Virus-Associated Hemophagocytic Lymphohistiocytosis: Case Reports and Literature Review.,33707840
120,Haemophagocytic lymphohistiocytosis secondary to brucellosis in a young child.,33692068
121,Ectopic expression of the atypical HLH FaPRE1 gene determines changes in cell size and morphology.,33691964
122,Emapalumab for adult and pediatric patients with hemophagocytic lymphohistiocytosis.,33686916
123,A network-informed analysis of SARS-CoV-2 and hemophagocytic lymphohistiocytosis genes' interactions points to Neutrophil extracellular traps as mediators of thrombosis in COVID-19.,33684134
124,Diagnosis of GATA2 Deficiency in a Young Woman with Hemophagocytic Lymphohistiocytosis Triggered by Acute Systemic Cytomegalovirus Infection.,33684095
125,The conserved regulator of autophagy and innate immunity hlh-30/TFEB mediates tolerance of enterohemorrhagic Escherichia coli in Caenorhabditis elegans.,33683370
126,Super refractory status in a case of Febrile Infection-Related Epilepsy Syndrome due to hemophagocytic lymphocytic histiocytosis.,33681644
127,Lemierre's Syndrome with Severe Thrombocytopenia without Disseminated Intravascular Coagulation: A Case Report and Literature Review.,33681457
128,Secondary Hemophagocytic Lymphohistiocytosis in a Young Hispanic Adult.,33680624
129,Thrombotic microangiopathy led to acute kidney injury in an infant with hemophagocytic lymphohistiocytosis: A case report.,33680118
130,"Life-Threatening Influenza, Hemophagocytic Lymphohistiocytosis and Probable Vaccine-Strain Varicella in a Novel Case of Homozygous STAT2 Deficiency.",33679716
131,Granulomatous Tubercular Hepatitis Presenting as Secondary Hemophagocytic Lymphohistiocytosis: A Case Report and Systematic Review of the Literature.,33679052
132,Secondary Hemophagocytic Lymphohistiocytosis and Autoimmune Cytopenias: Case Description and Review of the Literature.,33672504
133,Hemophagocytic lymphohistiocytosis associated with ocrelizumab treatment in a patient with multiple sclerosis.,33666121
134,Use of the JAK Inhibitor Ruxolitinib in the Treatment of Hemophagocytic Lymphohistiocytosis.,33664745
135,Secondary Leukemia in a Patient With EBV-HLH Carrying Heterozygous STXBP2 Variant.,33661178
136,Diagnostic and therapeutic caveats in Griscelli syndrome.,33660295
137,Hemophagocytic Lymphohistiocytosis Gene Mutations in Adult Patients Presenting With CLIPPERS-Like Syndrome.,33658321
138,Haemophagocytic lymphohistiocytosis secondary to intrauterine cytomegalovirus infection.,33656138
139,Hemophagocytic lymphohistiocytosis and myelodysplastic syndrome: a case report and review of the literature.,33648567
140,Acute Hepatitis-A Virus Infection as a Rare Cause of Hemophagocytic Lymphohistiocytosis.,33645198
141,"In vitro effects of the endocrine disruptor p,p'DDT on human choriogonadotropin/luteinizing hormone receptor signalling.",33638691
142,"[Bile acid diarrhea, stepchild of chronic diarrhea - prevalence, diagnosis and treatment. Update 2021].",33634438
143,Macrophage Activation Syndrome Upon Initiation of Adalimumab in a Patient With Longstanding Rheumatoid Arthritis.,33633871
144,Applying an Age-specific Definition to Better Characterize Etiologies and Outcomes in Neonatal Acute Liver Failure.,33633086
145,"A ""ligand-targeting"" peptide-drug conjugate: Targeted intracellular drug delivery by VEGF-binding helix-loop-helix peptides via receptor-mediated endocytosis.",33630870
146,Hemophagocytic Lymphohistiocytosis Secondary to Prostatic Adenocarcinoma.,33628667
147,Busulfan-based reduced toxicity conditioning regimen used in hematopoietic stem cell transplantation in HLH patients results in sustained donor chimerism.,33625293
148,Cytomorphologic Features Found in Cerebrospinal Fluid Specimens of Hemophagocytic Lymphohistiocytosis Patients.,33624013
149,Study of the diagnostic criteria for hemophagocytic lymphohistiocytosis in neonatal and pediatric patients with severe sepsis or septic shock.,33622175
150,Cytokine release syndrome in COVID-19: a major mechanism of morbidity and mortality.,33616462
151,Increasing ferritin predicts early death in adult hemophagocytic lymphohistiocytosis.,33595184
152,Efficacy of moderately dosed etoposide in macrophage activation syndrome - hemophagocytic lymphohistiocytosis (MAS-HLH).,33589555
153,Non-EBV infection-associated hemophagocytic lymphohistiocytosis: a distinct subgroup where pathogen-directed therapy is essential and favorable outcomes are expected.,33586592
154,[Hemophagocytic lymphohistiocytosis in critically ill patients].,33580314
155,Central Nervous System Hemophagocytic Lymphohistiocytosis (CNS-HLH) from Leptomeningeal Anaplastic Large Cell Lymphoma : Mild Clinical Neurologic Syndrome with Extensive Multifocal White Matter Disease.,33576835
156,Systemic and Nodular Hyperinflammation in a Patient with Refractory Familial Hemophagocytic Lymphohistiocytosis 2.,33570715
157,Macrophage activation syndrome in a newborn: report of a case associated with neonatal lupus erythematosus and a summary of the literature.,33568193
158,Wolman's disease presenting with secondary hemophagocytic lymphohistiocytosis: a case report from Saudi Arabia and literature review.,33568092
159,Therapeutic Drug Monitoring and Pharmacokinetic Analysis of Cyclosporine in a Pediatric Patient with Hemophagocytic Lymphohistiocytosis Complicated by Diabetes Insipidus: A Grand Round.,33560100
160,"Ruxolitinib-combined doxorubicin-etoposide-methylprednisolone regimen as a salvage therapy for refractory/relapsed haemophagocytic lymphohistiocytosis: a single-arm, multicentre, phase 2 trial.",33559893
161,Management of hemophagocytic lymphohistiocytosis (HLH) associated with chimeric antigen receptor T-cell (CAR-T) therapy using anti-cytokine therapy: an illustrative case and review of the literature.,33559517
162,Inferences of glia-mediated control in Caenorhabditis elegans.,33559247
163,Biophysical Properties and Cytotoxicity of Feruloylated Helix Lucorum Hemocyanin.,33558913
164,[Therapeutic Effect of PE+CRRT Combined with Chemotherapy on Children with Severe EBV-HLH and Non-EBV-HLH].,33554831
165,Inhibitor of Differentiation 4 (ID4) represses mammary myoepithelial differentiation via inhibition of HEB.,33554073
166,Hemophagocytic Lymphohistiocytosis Secondary to Disseminated Histoplasmosis in Rheumatologic Disease.,33552603
167,Elevated serum gasdermin D N-terminal implicates monocyte and macrophage pyroptosis in adult-onset Still's disease.,33550379
168,Scrub Typhus-Associated Hemophagocytic Lymphohistiocytosis: Not a Rare Entity in Pediatric Age Group.,33547467
169,Association of Long-Term Trajectories of Neighborhood Socioeconomic Status With Weight Change in Older Adults.,33544146
170,Secretion of von Willebrand Factor and Suppression of ADAMTS-13 Activity by Markedly High Concentration of Ferritin.,33539188
171,Predictive Ki-67 Proliferation Index of Cervical Squamous Cell Carcinoma Based on IVIM-DWI Combined with Texture Features.,33531882
172,The conserved autoimmune-disease risk gene TMEM39A regulates lysosome dynamics.,33531362
173,Ruxolitinib as adjunctive therapy for secondary hemophagocytic lymphohistiocytosis: A case series.,33523540
174,COVID-19-associated cytokine storm syndrome and diagnostic principles: an old and new Issue.,33522893
175,Disruption of CCR5 signaling to treat COVID-19-associated cytokine storm: Case series of four critically ill patients treated with leronlimab.,33521616
176,Hemophagocytic Lymphohistiocytosis Associated with Respiratory Syncytial Virus Infection in an Immunocompetent Elderly Patient.,33520319
177,Helmet mask and tocilizumab for a patient with hemophagocytic lymphohistiocytosis syndrome and COVID-19: a case report.,33518836
178,A Recurrent Case of Adult-onset Still's Disease with Concurrent Acalculous Cholecystitis and Macrophage Activation Syndrome/Hemophagocytic Lymphohistiocytosis Successfully Treated with Combination Immunosuppressive Therapy.,33518559
179,Haemophagocytic lymphohistiocytosis and liver failure-induced massive hyperferritinaemia in a male COVID-19 patient.,33516166
180,RhoG deficiency abrogates cytotoxicity of human lymphocytes and causes hemophagocytic lymphohistiocytosis.,33513601
181,Primary Cutaneous Natural Killer/T-Cell Lymphoma: A Posttransplant Lymphoproliferative Disorder Demonstrated by 18F-FDG PET/CT.,33512953
182,T-cell activation profiles distinguish hemophagocytic lymphohistiocytosis and early sepsis.,33512385
183,The Dilemma of Diagnosing Hemophagocytic Lymphohistiocytosis in Sickle Cell Disease.,33510976
184,Haemophagocytic Lymphohistiocytosis in an Elderly Patient after Recent Cardiac Surgery.,33510920
185,The impact of introducing ambulance and delivery fees in a rural hospital in Tanzania.,33509195
186,Bone Marrow and Peripheral Blood Findings in Patients Infected by SARS-CoV-2.,33502434
187,Acute liver injury secondary to hemophagocytic lymphohistiocytosis triggered by Epstein-Barr virus infection.,33490632
188,MiT/TFE Family of Transcription Factors: An Evolutionary Perspective.,33490073
189,"COVID-19: High-JAKing of the Inflammatory ""Flight"" by Ruxolitinib to Avoid the Cytokine Storm.",33489899
190,Outcomes of adult critically ill patients with hemophagocytic lymphohistiocytosis in united states-analysis from an administrative database from 2007 to 2015.,33489441
191,Multicenter Outcome of Hematopoietic Stem Cell Transplantation for Primary Immune Deficiency Disorders in India.,33488609
192,Screening for hemophagocytic lymphohistiocytosis in child abuse evaluations: Twelve years of data.,33486258
193,The role of interferon-gamma and its signaling pathway in pediatric hematological disorders.,33484058
194,Intestinal long non-coding RNAs in response to simulated microgravity stress in Caenorhabditis elegans.,33479427
195,Estimating health state utilities in hemophagocytic lymphohistiocytosis.,33471193
196,Cytokine adsorption therapy in lymphoma-associated hemophagocytic lymphohistiocytosis and allogeneic stem cell transplantation.,33459910
197,Report of a Fatal Case of Hemophagocytic Lymphohistiocytosis Syndrome and a Review of the Literature.,33457141
198,Age-related miRNome landscape of cumulus oophorus cells during controlled ovarian stimulation protocols in IVF cycles.,33454781
199,Characterizing EBV-associated lymphoproliferative diseases and the role of myeloid-derived suppressor cells.,3344355333443554
200,Hemophagocytic lymphohistiocytosis secondary to Candida albicans and reactivated EBV infections: A case report and review of the literature.,33433441
201,"Chediak-Higashi syndrome: a review of the past, present, and future.",33424983
202,Novel Therapeutic Approaches to Familial HLH (Emapalumab in FHL).,33424859
203,Effect of Single-Injection Thoracic Paravertebral Block via the Intrathoracic Approach for Analgesia After Single-Port Video-Assisted Thoracoscopic Lung Wedge Resection: A Randomized Controlled Trial.,33420979
204,Can we truly diagnose adult secondary hemophagocytic lymphohistiocytosis (HLH)? A critical review of current paradigms.,33418346
205,Biomarkers for Early Diagnosis of Hemophagocytic Lymphohistiocytosis in Critically Ill Patients.,33417087
206,Pregnancy-Induced Hemophagocytic Lymphohistiocytosis: A Case Report and Literature Review.,33413754
207,Clinical warning of hemophagocytic syndrome caused by Epstein-Barr virus.,33413556
208,Lamotrigine-associated hemophagocytic lymphohistiocytosis.,33408106
209,Is neutralization of IFN-γ sufficient to control inflammation in HLH?,33405364
210,Feasibility and effectiveness of multi-injection thoracic paravertebral block via the intrathoracic approach for analgesia after thoracoscopic-laparoscopic esophagectomy.,33403428
211,Chondrodysplasia and growth failure in children after early hematopoietic stem cell transplantation for non-oncologic disorders.,33398909
212,Haemophagocytic syndrome and COVID-19.,33389315
213,Macrophage activation syndrome in systemic lupus erythematosus and systemic-onset juvenile idiopathic arthritis: a retrospective study of similarities and dissimilarities.,33388903
214,Characteristics and predictors of post-transplant-associated hemophagocytic lymphohistiocytosis in adults.,33385294
215,Primary dengue infection triggered haemophagocytic lymphohistiocytosis in a neonate.,33384343
216,Pathology of macrophage activation syndrome in humanized NSGS mice.,33383491
217,Kikuchi's disease with hemophagocytic lymphohistiocytosis: A case report and literature review.,33371072
218,Combining Rational Design and Continuous Evolution on Minimalist Proteins That Target the E-box DNA Site.,33370105
219,Fatal Epstein-Barr virus-associated hemophagocytic lymphohistiocytosis with virus-infected T cells after pediatric multivisceral transplantation: A proof-of-concept case report.,33368911
220,"Hemophagocytic Lymphohistiocytosis as the Presenting Manifestation of Relapsed Classic Hodgkin's Lymphoma in the Presence of Concurrent Human Immunodeficiency Virus, Genital Herpes, Epstein-Barr Virus and Mycobacterium Avium Complex Infection.",33364090
221,"Purpuric rash in an adolescent with fever, pancytopenia, and an hemophagocytic lymphohistiocytosis-like syndrome due to parvovirus B19.",33363887
222,Griscelli Syndrome Type 2 Sine Albinism: Unraveling Differential RAB27A Effector Engagement.,33362801
223,Case Report: Secondary Hemophagocytic Lymphohistiocytosis With Disseminated Infection in Chronic Granulomatous Disease-A Serious Cause of Mortality.,33362767
224,Hemophagocytic lymphohistiocytosis caused by STAT1 gain-of-function mutation is not driven by interferon-γ: A case report.,33344614
225,Hemophagocytic Lymphohistiocytosis Hospitalizations in Adults and Its Association With Rheumatologic Diseases: Data From Nationwide Inpatient Sample.,33337810
226,Continuous Renal Replacement Therapy with oXiris® Membrane in Severe Ebstein-Barr Virus-Mediated Hemophagocytic Lymphohistiocytosis: A Case Report.,33333505
227,Hemophagocytic Lymphohistiocytosis as the Initial Presentation of Subcutaneous Panniculitis-Like T-Cell Lymphoma: A Rare Case Responding to Cyclosporine A and Steroids.,33331177
228,Chediak-Higashi Syndrome With Epstein-Barr Virus Triggered Hemophagocytic Lymphohistiocytosis: A Case Report.,33329964
229,A conserved cysteine-based redox mechanism sustains TFEB/HLH-30 activity under persistent stress.,33314217
230,Id(entifying) the inhibitor of DNA binding 3 in the brain of Nothobranchius furzeri upon aging.,33314133
231,Etiologies and management of haemophagocytic lymphohistiocytosis: is it time for an updated protocol and targeted treatments?,33313881
232,Co-Occurrence of Familial Hemophagocytic Lymphohistiocytosis Type 2 and Chronic Active Epstein-Barr Virus in Adulthood.,33309387
233,Dengue and Plasmodium falciparum Coinfection With Secondary Hemophagocytic Lymphohistiocytosis in a 3-Year-Old Boy: A Clinical Conundrum.,33306604
234,Hemophagocytic Lymphohistiocytosis as a Manifestation of Underlying Visceral Leishmaniasis.,33304709
235,Clinical Characteristics of Hemophagocytic Lymphohistiocytosis Associated with Non-Hodgkin B-Cell Lymphoma: A Multicenter Retrospective Study.,33303420
236,Suspected Primary Adrenal Lymphoma (PAL) Associated With Hemophagocytic Lymphohistiocytosis (HLH).,33294760
237,T cell gene therapy to treat immunodeficiency.,33280098
238,Phospho-Mutant Activity Assays Provide Evidence for the Negative Regulation of Transcriptional Regulator PRE1 by Phosphorylation.,33276448
239,Role of inhibitor of differentiation 3 gene in cellular differentiation of human corneal stromal fibroblasts.,33273801
240,Dengue Fever Associated Haemophagocytic Lymphohistiocytosis: A Report of Two Children.,33269160
241,A Fatal Case of Kaposi Sarcoma Immune Reconstitution Syndrome (KS-IRIS) Complicated by Kaposi Sarcoma Inflammatory Cytokine Syndrome (KICS) or Multicentric Castleman Disease (MCD): A Case Report and Review.,33268763
242,Hemophagocytic Lymphohistiocytosis in Children with Chronic Granulomatous Disease-Single-Center Experience from North India.,33259975
243,The CIB1 transcription factor regulates light- and heat-inducible cell elongation via a two-step HLH/bHLH system.,33258952
244,[The diagnostic value of flow cytometry in patients with lymphoma associated hemophagocytic syndrome].,33256339
245,A novel case of homozygous IFNAR1 deficiency with haemophagocytic lymphohistiocytosis.,33252644
246,Intrahepatic cholangiocarcinoma: MRI texture signature as predictive biomarkers of immunophenotyping and survival.,33245493
